date,ticker
2015-12-31,ABEV3
2015-12-31,AMER3
2015-12-31,AURE3
2015-12-31,B3SA3
2015-12-31,BBAS3
2015-12-31,BBDC3
2015-12-31,BBDC4
2015-12-31,BBSE3
2015-12-31,BRAP4
2015-12-31,BRFS3
2015-12-31,BRKM5
2015-12-31,BRML3
2015-12-31,BRPR3
2015-12-31,CCRO3
2015-12-31,CIEL3
2015-12-31,CMIG4
2015-12-31,COGN3
2015-12-31,CPFE3
2015-12-31,CPLE6
2015-12-31,CSAN3
2015-12-31,CSNA3
2015-12-31,CYRE3
2015-12-31,ECOR3
2015-12-31,EGIE3
2015-12-31,ELET3
2015-12-31,EMBR3
2015-12-31,ENBR3
2015-12-31,EQTL3
2015-12-31,FIBR3
2015-12-31,GGBR4
2015-12-31,GOAU4
2015-12-31,GOLL4
2015-12-31,HGTX3
2015-12-31,HYPE3
2015-12-31,ITSA4
2015-12-31,ITUB4
2015-12-31,JBSS3
2015-12-31,KLBN11
2015-12-31,LREN3
2015-12-31,MRFG3
2015-12-31,MRVE3
2015-12-31,MULT3
2015-12-31,NTCO3
2015-12-31,OIBR3
2015-12-31,PCAR3
2015-12-31,PETR3
2015-12-31,PETR4
2015-12-31,QUAL3
2015-12-31,RADL3
2015-12-31,RAIL3
2015-12-31,RENT3
2015-12-31,SANB11
2015-12-31,SBSP3
2015-12-31,SUZB3
2015-12-31,TIMS3
2015-12-31,UGPA3
2015-12-31,USIM5
2015-12-31,VALE3
2015-12-31,VALE5
2015-12-31,VIVT3
2015-12-31,YDUQ3
2016-01-31,ABEV3
2016-01-31,AMER3
2016-01-31,AURE3
2016-01-31,B3SA3
2016-01-31,BBAS3
2016-01-31,BBDC3
2016-01-31,BBDC4
2016-01-31,BBSE3
2016-01-31,BRAP4
2016-01-31,BRFS3
2016-01-31,BRKM5
2016-01-31,BRML3
2016-01-31,CCRO3
2016-01-31,CIEL3
2016-01-31,CMIG4
2016-01-31,COGN3
2016-01-31,CPFE3
2016-01-31,CPLE6
2016-01-31,CSAN3
2016-01-31,CSNA3
2016-01-31,CYRE3
2016-01-31,ECOR3
2016-01-31,EGIE3
2016-01-31,EMBR3
2016-01-31,ENBR3
2016-01-31,EQTL3
2016-01-31,FIBR3
2016-01-31,GGBR4
2016-01-31,GOAU4
2016-01-31,GOLL4
2016-01-31,HGTX3
2016-01-31,HYPE3
2016-01-31,ITSA4
2016-01-31,ITUB4
2016-01-31,JBSS3
2016-01-31,KLBN11
2016-01-31,LREN3
2016-01-31,MRFG3
2016-01-31,MRVE3
2016-01-31,MULT3
2016-01-31,NTCO3
2016-01-31,OIBR3
2016-01-31,PCAR3
2016-01-31,PETR3
2016-01-31,PETR4
2016-01-31,QUAL3
2016-01-31,RADL3
2016-01-31,RAIL3
2016-01-31,RENT3
2016-01-31,SANB11
2016-01-31,SBSP3
2016-01-31,SUZB3
2016-01-31,TIMS3
2016-01-31,UGPA3
2016-01-31,USIM5
2016-01-31,VALE3
2016-01-31,VALE5
2016-01-31,VIVT3
2016-01-31,WEGE3
2016-01-31,YDUQ3
2016-02-29,ABEV3
2016-02-29,AMER3
2016-02-29,AURE3
2016-02-29,B3SA3
2016-02-29,BBAS3
2016-02-29,BBDC3
2016-02-29,BBDC4
2016-02-29,BBSE3
2016-02-29,BRAP4
2016-02-29,BRFS3
2016-02-29,BRKM5
2016-02-29,BRML3
2016-02-29,CCRO3
2016-02-29,CIEL3
2016-02-29,CMIG4
2016-02-29,COGN3
2016-02-29,CPFE3
2016-02-29,CPLE6
2016-02-29,CSAN3
2016-02-29,CSNA3
2016-02-29,CYRE3
2016-02-29,ECOR3
2016-02-29,EGIE3
2016-02-29,EMBR3
2016-02-29,ENBR3
2016-02-29,EQTL3
2016-02-29,FIBR3
2016-02-29,GGBR4
2016-02-29,GOAU4
2016-02-29,GOLL4
2016-02-29,HGTX3
2016-02-29,HYPE3
2016-02-29,ITSA4
2016-02-29,ITUB4
2016-02-29,JBSS3
2016-02-29,KLBN11
2016-02-29,LREN3
2016-02-29,MRFG3
2016-02-29,MRVE3
2016-02-29,MULT3
2016-02-29,NTCO3
2016-02-29,OIBR3
2016-02-29,PCAR3
2016-02-29,PETR3
2016-02-29,PETR4
2016-02-29,QUAL3
2016-02-29,RADL3
2016-02-29,RAIL3
2016-02-29,RENT3
2016-02-29,SANB11
2016-02-29,SBSP3
2016-02-29,SUZB3
2016-02-29,TIMS3
2016-02-29,UGPA3
2016-02-29,USIM5
2016-02-29,VALE3
2016-02-29,VALE5
2016-02-29,VIVT3
2016-02-29,WEGE3
2016-02-29,YDUQ3
2016-03-31,ABEV3
2016-03-31,AMER3
2016-03-31,AURE3
2016-03-31,B3SA3
2016-03-31,BBAS3
2016-03-31,BBDC3
2016-03-31,BBDC4
2016-03-31,BBSE3
2016-03-31,BRAP4
2016-03-31,BRFS3
2016-03-31,BRKM5
2016-03-31,BRML3
2016-03-31,CCRO3
2016-03-31,CIEL3
2016-03-31,CMIG4
2016-03-31,COGN3
2016-03-31,CPFE3
2016-03-31,CPLE6
2016-03-31,CSAN3
2016-03-31,CSNA3
2016-03-31,CYRE3
2016-03-31,ECOR3
2016-03-31,EGIE3
2016-03-31,EMBR3
2016-03-31,ENBR3
2016-03-31,EQTL3
2016-03-31,FIBR3
2016-03-31,GGBR4
2016-03-31,GOAU4
2016-03-31,GOLL4
2016-03-31,HGTX3
2016-03-31,HYPE3
2016-03-31,ITSA4
2016-03-31,ITUB4
2016-03-31,JBSS3
2016-03-31,KLBN11
2016-03-31,LREN3
2016-03-31,MRFG3
2016-03-31,MRVE3
2016-03-31,MULT3
2016-03-31,NTCO3
2016-03-31,OIBR3
2016-03-31,PCAR3
2016-03-31,PETR3
2016-03-31,PETR4
2016-03-31,QUAL3
2016-03-31,RADL3
2016-03-31,RAIL3
2016-03-31,RENT3
2016-03-31,SANB11
2016-03-31,SBSP3
2016-03-31,SUZB3
2016-03-31,TIMS3
2016-03-31,UGPA3
2016-03-31,USIM5
2016-03-31,VALE3
2016-03-31,VALE5
2016-03-31,VIVT3
2016-03-31,WEGE3
2016-03-31,YDUQ3
2016-04-30,ABEV3
2016-04-30,AMER3
2016-04-30,AURE3
2016-04-30,B3SA3
2016-04-30,BBAS3
2016-04-30,BBDC3
2016-04-30,BBDC4
2016-04-30,BBSE3
2016-04-30,BRAP4
2016-04-30,BRFS3
2016-04-30,BRKM5
2016-04-30,BRML3
2016-04-30,CCRO3
2016-04-30,CIEL3
2016-04-30,CMIG4
2016-04-30,COGN3
2016-04-30,CPFE3
2016-04-30,CPLE6
2016-04-30,CSAN3
2016-04-30,CSNA3
2016-04-30,CYRE3
2016-04-30,ECOR3
2016-04-30,EGIE3
2016-04-30,EMBR3
2016-04-30,ENBR3
2016-04-30,EQTL3
2016-04-30,FIBR3
2016-04-30,GGBR4
2016-04-30,GOAU4
2016-04-30,GOLL4
2016-04-30,HGTX3
2016-04-30,HYPE3
2016-04-30,ITSA4
2016-04-30,ITUB4
2016-04-30,JBSS3
2016-04-30,KLBN11
2016-04-30,LREN3
2016-04-30,MRFG3
2016-04-30,MRVE3
2016-04-30,MULT3
2016-04-30,NTCO3
2016-04-30,OIBR3
2016-04-30,PCAR3
2016-04-30,PETR3
2016-04-30,PETR4
2016-04-30,QUAL3
2016-04-30,RADL3
2016-04-30,RAIL3
2016-04-30,RENT3
2016-04-30,SANB11
2016-04-30,SBSP3
2016-04-30,SUZB3
2016-04-30,TIMS3
2016-04-30,UGPA3
2016-04-30,USIM5
2016-04-30,VALE3
2016-04-30,VALE5
2016-04-30,VIVT3
2016-04-30,WEGE3
2016-04-30,YDUQ3
2016-05-31,ABEV3
2016-05-31,AMER3
2016-05-31,AURE3
2016-05-31,B3SA3
2016-05-31,BBAS3
