date,ABEV3,ALOS3,ALPA4,AMER3,AMOB3,ASAI3,AURE3,AXIA3,AXIA6,AXIA7,AZUL4,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BHIA3,BIDI11,BIDI4,BPAC11,BPAN4,BRAP4,BRAV3,BRFS3,BRKM5,BRML3,BRPR3,CASH3,CEAB3,CIEL3,CMIG4,CMIN3,COGN3,CPFE3,CPLE3,CRFB3,CSAN3,CSMG3,CSNA3,CURY3,CVCB3,CXSE3,CYRE3,CYRE4,DIRR3,DXCO3,ECOR3,EGIE3,ELET6,EMBJ3,ENBR3,ENEV3,ENGI11,EQTL3,EZTC3,FIBR3,FLRY3,GETT11,GGBR4,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IBOV,IGTI11,IRBR3,ISAE4,ITSA4,ITUB4,JBSS3,JHSF3,JPSA3,KLBN11,LCAM3,LOGG3,LREN3,LWSA3,MBRF3,MGLU3,MOTV3,MRVE3,MULT3,NATU3,NTCO3,OIBR3,PCAR3,PETR3,PETR4,PETZ3,POMO4,POSI3,PRIO3,PSSA3,QUAL3,RADL3,RAIL3,RAIZ4,RDOR3,RECV3,RENT3,RENT4,SANB11,SAPR11,SBSP3,SLCE3,SMFT3,SMTO3,SOMA3,STBP3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VALE5,VAMO3,VBBR3,VIVA3,VIVT3,VVAR11,WEGE3,YDUQ3
2015-01-02,9.727639198303223,11.524978637695312,3.7878241539001465,2054.114501953125,,,,4.213099479675293,3.739056490766301,,,17.794057846069336,2.050201892852783,5.416402339935303,6.91891622543335,7.020195484161377,11.844793319702148,7.144007682800293,143.12789916992188,,,,2.1088335393110436,1.3892759084701538,,52.77807068796888,10.978878021240234,12.05380139194797,388.1629943847656,,,14.484409246699569,2.2213263511657715,,11.208674430847168,10.580084800720215,1.1492972373962402,,5.104053497314453,3.4353556632995605,2.9368207454681396,,11.056496620178223,,6.152503967285156,,1.2012020349502563,3.8510782718658447,7.6753830909729,9.195465087890625,3.739056490766301,23.652938842773438,5.543538627186297,5.989071846008301,8.111857414245605,4.300580978393555,7.559919357299805,32.29999923706055,4.60359525680542,,4.418920993804932,4.330082416534424,14.99,,14.745864724252565,11.011850357055664,48512.0,,,4.169008255004883,2.2961134910583496,8.432165145874023,6.742467504079329,1.389288067817688,,7.816608905792236,1.1881276272834618,,7.592788219451904,,3.4637081623077393,1.885102391242981,9.967611312866211,4.484662055969238,10.774396896362305,28.88951873779297,27.48535609259182,675.394287109375,6.567932605743408,2.496523857116699,2.418379068374634,,1.319392442703247,1.3984007835388184,0.43929439783096313,8.409374237060547,16.30402374267578,4.110558032989502,,,,,8.146109580993652,,5.912815570831299,,2.4443671703338623,1.459964394569397,,8.63193416595459,,,10.427712902110322,16.612253189086914,5.939333915710449,6.658120632171631,9.894805908203125,8.210073471069336,3.7322909832000732,9.982885360717773,17.248456954956055,,,,8.521289825439453,19.094881057739258,4.7083539962768555,14.761743545532227
2015-01-05,9.551543235778809,10.880126953125,3.6847169399261475,1988.4578857421875,,,,4.131219863891602,3.701335870430701,,,17.236482620239258,1.9941495656967163,5.304008960723877,6.8336334228515625,7.034678936004639,11.489644050598145,6.804893970489502,143.12789916992188,,,,1.980469758657328,1.3759762048721313,,51.77649263374237,10.316740989685059,11.928648359974465,392.8443603515625,,,13.992114370489986,2.164057731628418,,10.390745162963867,10.443068504333496,1.1023287773132324,,4.8011155128479,3.5988121032714844,2.792292594909668,,10.911015510559082,,6.311468124389648,,1.143295168876648,3.881164312362671,7.142070293426514,9.206747055053711,3.701335870430701,23.12943458557129,5.384788952868248,5.561281204223633,6.725467681884766,4.136375427246094,7.138951301574707,32.189998626708984,4.410819053649902,,4.21652889251709,4.1259846687316895,14.85,,14.334178145656676,11.032257080078125,47517.0,,,4.174129962921143,2.303624153137207,8.474530220031738,6.7807045598680595,1.33944833278656,,7.625158786773682,1.1398787896272802,,7.381709098815918,,3.200563907623291,1.9205269813537598,9.683207511901855,4.404026031494141,10.759787559509277,28.576120376586914,27.18719032407334,626.8853149414062,6.567932605743408,2.2940280437469482,2.2116804122924805,,1.323662281036377,1.467287302017212,0.4063473343849182,8.393099784851074,16.450300216674805,4.082595348358154,,,,,7.807466506958008,,5.870978832244873,,2.4443671703338623,1.459964394569397,,8.203630447387695,,,10.213327357247858,16.612253189086914,5.917276382446289,6.499325752258301,9.590779304504395,7.9912919998168945,3.5063271522521973,9.832767486572266,17.06427574157715,,,,8.352306365966797,18.601795196533203,4.740458011627197,13.878049850463867
2015-01-06,9.915875434875488,10.530263900756836,3.6521570682525635,1994.085693359375,,,,4.168437480926514,3.819212808979449,,,16.89918327331543,2.013551712036133,5.3781418800354,7.015858173370361,7.266086578369141,11.977485656738281,6.706925868988037,143.12789916992188,,,,1.9713009171820624,1.4373584985733032,,52.24332986240728,10.096028327941895,12.147666165928095,398.69598388671875,,,13.711323959614882,2.144968271255493,,9.693989753723145,10.63370418548584,1.0855542421340942,,4.612009048461914,3.6251327991485596,3.017756938934326,,10.765536308288574,,6.488093852996826,,1.1106297969818115,3.8310201168060303,7.062793254852295,9.392854690551758,3.819212808979449,22.710628509521484,5.39748892681369,5.703877925872803,6.725467681884766,4.369390487670898,7.3143534660339355,32.29999923706055,4.347520351409912,,4.659867286682129,4.530179500579834,15.21,,14.072195777459298,10.780598640441895,48001.0,,,4.150569915771484,2.3211517333984375,8.61161994934082,6.634129179344598,1.345678448677063,,7.876779079437256,1.1248010278597238,,7.4667439460754395,,3.151606559753418,1.8952234983444214,9.825408935546875,4.52187967300415,11.295343399047852,28.44316291809082,27.060695205719206,537.3302612304688,6.567932605743408,2.2357757091522217,2.139336109161377,,1.336471676826477,1.4259554147720337,0.3664114773273468,8.28730297088623,16.6940975189209,4.201028347015381,,,,,7.965188503265381,,5.912815570831299,,2.4370923042297363,1.4771405458450317,,7.78474235534668,,,9.99894181238539,16.612253189086914,5.926730632781982,6.487983226776123,8.991009712219238,8.00263500213623,3.677747964859009,10.226826667785645,17.76416015625,,,,8.14501953125,18.824167251586914,4.67013692855835,13.067995071411133
2015-01-07,10.055534362792969,10.633164405822754,3.608743906021118,1974.388671875,,,,4.317310333251953,3.9606651352379494,,,17.071273803710938,2.093317747116089,5.61488151550293,7.325649261474609,7.5548505783081055,11.786253929138184,7.151543140411377,154.91488647460938,,,,1.962132075706797,1.4752105474472046,,54.577516005731724,10.089720726013184,12.546591455343632,398.305908203125,,,13.838955964558112,2.144968271255493,,9.550094604492188,11.00900936126709,1.140670657157898,,4.679940700531006,3.7304084300994873,3.3472824096679688,,10.670974731445312,,6.658834457397461,,1.1314167976379395,3.951367139816284,7.624934673309326,9.629721641540527,3.9606651352379494,22.539304733276367,5.619738470858961,5.846475124359131,6.725467681884766,4.331857204437256,7.531857013702393,33.06999969482422,4.315870761871338,,5.002007484436035,4.862338066101074,14.55,,14.37160419825631,11.426752090454102,49463.0,,,4.2693915367126465,2.4087908267974854,8.923184394836426,6.7807045598680595,1.345678448677063,,7.958827972412109,1.1428943419807918,,7.593788146972656,,3.2617599964141846,1.9584825038909912,10.563498497009277,4.6211256980896,11.684839248657227,29.658763885498047,28.21721241041665,528.374755859375,6.567932605743408,2.343958616256714,2.2401018142700195,,1.3834407329559326,1.4397326707839966,0.3654130697250366,8.300868034362793,16.456396102905273,4.273403167724609,,,,,8.048693656921387,,6.159182071685791,,2.4880170822143555,1.5243748426437378,,7.812980651855469,,,9.947489281618397,16.612253189086914,5.93618106842041,6.510668754577637,8.927437782287598,8.219799995422363,3.8959193229675293,10.602127075195312,18.408790588378906,,,,8.424410820007324,18.804832458496094,4.616633415222168,12.65961742401123
2015-01-08,10.661446571350098,10.667462348937988,3.6630101203918457,1909.669921875,,,,4.235430717468262,3.861648506856998,,,16.988679885864258,2.0652921199798584,5.634012222290039,7.34185266494751,7.5937604904174805,11.751128196716309,7.121400833129883,154.91488647460938,,,,2.0171451245583896,1.4966940879821777,,53.601401800341506,10.114946365356445,12.609167971330388,408.05877685546875,,,14.221851979387784,2.1276140213012695,,10.299863815307617,11.235383033752441,1.1401911973953247,,4.736855506896973,3.6846976280212402,3.237440824508667,,10.292724609375,,6.711821556091309,,1.152203917503357,3.986467123031616,7.524036884307861,9.728413581848145,3.861648506856998,21.89206314086914,5.7784881451770085,5.989071846008301,6.725467681884766,4.300580978393555,7.5423808097839355,31.969999313354492,4.258325099945068,,4.886353969573975,4.6982598304748535,14.27,,14.581190092814207,11.399544715881348,49943.0,,,4.297049522399902,2.433830499649048,9.062763214111328,6.818941615656791,1.4702785015106201,,7.953358173370361,1.136863237273769,,7.602790832519531,,3.322956085205078,1.943299651145935,10.685384750366211,4.6769514083862305,11.560687065124512,29.44033432006836,28.00939952016136,533.5988159179688,6.567932605743408,2.502072334289551,2.384791374206543,,1.3877105712890625,1.4948419332504272,0.37739384174346924,8.246612548828125,16.176027297973633,4.284915447235107,,,,,7.911839485168457,,6.056915760040283,,2.4967470169067383,1.5286685228347778,,7.883579730987549,,,9.861735063673411,16.612253189086914,5.992895126342773,6.805574893951416,9.13473129272461,8.135525703430176,3.7011237144470215,10.714713096618652,18.510087966918945,,,,8.76688003540039,19.28824806213379,4.6945953369140625,13.054606437683105
2015-01-09,10.635662078857422,10.770365715026855,3.646730422973633,1913.421875,,,,4.1461076736450195,3.5928890869658527,,,16.802818298339844,2.0113956928253174,5.390097618103027,7.0847063064575195,7.264042854309082,11.368659019470215,6.993290424346924,154.91488647460938,,,,2.0354828075089206,1.4660032987594604,,52.438552703485314,9.894232749938965,12.515303197350262,403.76751708984375,,,14.520875533826203,2.052992105484009,,10.057512283325195,10.62178897857666,1.1023287773132324,,4.589976787567139,3.650066375732422,3.0986928939819336,,10.183615684509277,,6.352680206298828,,1.0957818031311035,3.931309461593628,7.264586925506592,8.981158256530762,3.5928890869658527,21.701690673828125,5.537188640213574,5.989071846008301,6.725467681884766,4.066003322601318,7.156494617462158,31.450000762939453,4.243938446044922,,4.664685249328613,4.446138858795166,14.05,,14.221899987857803,11.209098815917969,48840.0,,,3.9416065216064453,2.348695993423462,8.666455268859863,6.646874864607507,1.4578180313110352,,7.958827972412109,,,7.332695484161377,,3.371912956237793,1.8775110244750977,10.529641151428223,4.453648090362549,11.636151313781738,28.89901351928711,27.494389384311095,529.1210327148438,6.567932605743408,2.576967239379883,2.457137107849121,,1.4005206823349,1.5155080556869507,0.43729761242866516,8.119115829467773,16.322307586669922,4.219120502471924,,,,,7.939670562744141,,5.996485233306885,,2.438547372817993,1.513639211654663,,7.850635528564453,,,9.810282532906418,16.612253189086914,5.9519362449646,6.6524505615234375,9.040760040283203,8.036665916442871,3.55307936668396,10.484844207763672,18.25223731994629,,,,8.62718677520752,18.42776870727539,4.673195838928223,12.719871520996094
2015-01-12,10.771024703979492,10.784087181091309,3.7986788749694824,1866.524169921875,,,,4.1461076736450195,3.6541850950112016,,,16.623842239379883,1.9531877040863037,5.296834468841553,6.965240001678467,7.13502311706543,11.630142211914062,6.782286643981934,154.91488647460938,,,,2.0354828075089206,1.450657606124878,,52.871438133701865,10.083415031433105,12.28064126239994,384.2618103027344,,,14.159859291272511,1.9853103160858154,,9.178995132446289,10.425193786621094,1.054401159286499,,4.303562164306641,3.392414093017578,3.0466630458831787,,9.78354549407959,,6.211379528045654,,1.083903193473816,3.795919418334961,7.19251823425293,8.727375030517578,3.6541850950112016,21.806394577026367,5.51813867929541,5.418684005737305,6.725467681884766,4.020651340484619,6.910926818847656,31.18000030517578,4.200780868530273,,4.553849697113037,4.330082416534424,14.25,,13.71290567250289,11.059460639953613,48140.0,,,3.9303407669067383,2.308633327484131,8.457083702087402,6.691484763027691,1.4017479419708252,,7.9095988273620605,1.1036921613851445,,7.4327311515808105,,3.2617599964141846,1.897754192352295,10.428069114685059,4.341997146606445,11.465747833251953,28.76605987548828,27.367897895242503,452.999267578125,6.567932605743408,2.4327237606048584,2.284024953842163,,1.3407419919967651,1.5223968029022217,0.3783922493457794,7.893960475921631,16.456396102905273,4.411571502685547,,,,,7.967510223388672,,5.875627040863037,,2.4050822257995605,1.5501385927200317,,7.532937526702881,,,9.681651205988942,16.612253189086914,5.885768413543701,6.6184210777282715,9.590779304504395,7.882707118988037,3.412825584411621,10.620889663696289,18.215402603149414,,,,8.640702247619629,18.166723251342773,4.6472063064575195,11.407713890075684
2015-01-13,10.771024703979492,11.250574111938477,3.820384979248047,1877.779541015625,,,,4.108888149261475,3.7060509479726513,,,16.747751235961914,1.9574987888336182,5.265746593475342,6.894375801086426,7.1575493812561035,11.388175010681152,6.917931079864502,155.33584594726562,,,,1.9896386001325932,1.4885097742080688,,51.54731799421598,9.976212501525879,12.194598552918158,388.94317626953125,,,13.667564415062921,2.0130767822265625,,9.800015449523926,10.711146354675293,1.0687795877456665,,4.553256988525391,3.1887857913970947,2.9426021575927734,,10.10360050201416,,6.211379528045654,,1.0824182033538818,3.951367139816284,7.343861103057861,8.800690650939941,3.7060509479726513,21.530363082885742,5.511788692322688,5.561281204223633,6.725467681884766,4.0566205978393555,7.1214094161987305,30.950000762939453,4.174883842468262,,4.423740863800049,4.230033874511719,13.69,,13.47337893586529,11.059460639953613,48042.0,,,3.9282915592193604,2.316143274307251,8.447115898132324,6.468435270926769,1.4578180313110352,,7.83848762512207,1.1097232660921672,,7.407720565795898,,3.1699655055999756,1.8775110244750977,10.66507339477539,4.4412431716918945,11.677534103393555,28.576120376586914,27.18719032407334,451.5066833496094,6.567932605743408,2.449366807937622,2.348618984222412,,1.3749006986618042,1.4948419332504272,0.3724018633365631,7.777313232421875,16.04803466796875,4.317814350128174,,,,,7.988383769989014,,5.8616814613342285,,2.2697696685791016,1.5941519737243652,,7.603537559509277,,,9.707377471372437,16.612253189086914,5.9865946769714355,6.646779537200928,9.25910472869873,7.9588751792907715,3.288156032562256,10.559903144836426,18.37195587158203,,,,8.870523452758789,18.05070686340332,4.664022445678711,11.588472366333008
2015-01-14,10.803256034851074,10.770365715026855,3.744410991668701,1857.1446533203125,,,,4.198211669921875,3.8144977314374997,,,16.761516571044922,1.996305227279663,5.304008960723877,6.975367546081543,7.233323574066162,11.193036079406738,6.917931079864502,155.33584594726562,,,,1.9988074416078585,1.3708614110946655,,52.438552703485314,9.377135276794434,12.43708255236682,393.6245422363281,,,13.802489677431476,2.023489236831665,,9.845457077026367,11.181763648986816,1.0831577777862549,,4.604664325714111,3.01286244392395,2.861665964126587,,10.016312599182129,,6.187829494476318,,1.037874460220337,3.936324119567871,7.423139572143555,9.277240753173828,3.8144977314374997,20.369129180908203,5.600688509940796,5.989071846008301,6.4894866943359375,4.175473690032959,7.08281946182251,30.809999465942383,4.177762031555176,,4.25507926940918,4.081964015960693,13.78,,13.62308314626379,11.086668968200684,47646.0,,,3.9713127613067627,2.3286643028259277,8.504440307617188,6.455689585663857,1.4515881538391113,,7.685328006744385,1.1036921613851445,,7.342695713043213,,2.974137306213379,1.8471475839614868,10.874985694885254,4.3916192054748535,11.699446678161621,28.405174255371094,27.024552965628263,422.40130615234375,6.567932605743408,2.357828140258789,2.302111864089966,,1.3749006986618042,1.4948419332504272,0.34444674849510193,7.969916343688965,16.462493896484375,4.2783355712890625,,,,,8.160025596618652,,5.940704822540283,,2.2421252727508545,1.5887844562530518,,7.768267631530762,,,10.033243499563383,16.612253189086914,6.071667194366455,6.629765510559082,9.190010070800781,8.023701667785645,3.186861991882324,9.710798263549805,16.94455909729004,,,,8.969660758972168,18.379426956176758,4.738926410675049,11.903120040893555
2015-01-15,10.82259464263916,11.202553749084473,3.8420913219451904,1864.6483154296875,,,,4.153550624847412,3.6353247848434016,,,16.58942222595215,1.98768150806427,5.270528316497803,6.924745559692383,7.159596920013428,11.415491104125977,7.272117614746094,155.33584594726562,,,,1.9988074416078585,1.3800688982009888,,52.69319119184799,9.440196990966797,12.726498938805543,397.915771484375,,,13.631098127936289,2.063403844833374,,9.542519569396973,10.955395698547363,1.0999325513839722,,4.843343257904053,3.1541554927825928,2.8154170513153076,,10.183615684509277,,6.287918567657471,,1.000754475593567,3.9062371253967285,7.66096830368042,9.263143539428711,3.6353247848434016,20.53094482421875,5.581638549022628,5.703877925872803,6.4894866943359375,4.105100631713867,6.767093181610107,31.100000381469727,4.2036566734313965,,4.327363014221191,4.129985809326172,14.05,,13.757816935622442,11.596790313720703,48026.0,,,3.987700939178467,2.3236565589904785,8.429670333862305,6.710603290922059,1.445358157157898,,7.6306304931640625,1.088614399617588,,7.424724578857422,,3.1760852336883545,1.8620251417160034,10.949472427368164,4.267562389373779,12.269078254699707,28.88951873779297,27.48535609259182,420.9087219238281,6.567932605743408,2.5658719539642334,2.4054617881774902,,1.362091064453125,1.4190666675567627,0.3454451262950897,7.6633806228637695,16.261356353759766,4.276692867279053,,,,,8.21105670928955,,6.135937213897705,,2.279954195022583,1.5941519737243652,,7.836516380310059,,,9.775980845728425,16.612253189086914,6.166193008422852,6.7885613441467285,9.010355949401855,8.04801082611084,3.186861991882324,9.823385238647461,17.082693099975586,,,,9.12512493133545,18.630802154541016,4.738926410675049,11.441186904907227
